"id","diversity","pop_density","temperature","precipitation","density","devil"
"EHI01343",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02785",1.89015293117981,6.09151744842529,9.91666698455811,1035,78.46,0.149951234459877
"EHI01271",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
"EHI02843",3.48087690821693,1.56636345386505,13.7,675.3,6.21875,0.147071500619253
"EHI02779",5.4560513961331,19.042516708374,10.4458332061768,895,62.07575,0.19277235865593
"EHI02822",1,0.643123865127563,11.3562498174373,1422.99999861554,80,0.226075142621994
"EHI02797",1.03306876802907,0,9.34166622161865,1564,79.857,0.210193639000257
"EHI02074",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02830",1,1.75630557537079,11.8000001907349,1383,80,0.354327748219172
"EHI02784",1.60368174569131,1.19077253341675,12.8666667938232,839,57.4665,0.19866093993187
"EHI02766",5.4560513961331,19.042516708374,10.4458332061768,895,62.07575,0.19277235865593
"EHI02771",1.03306876802907,0,9.34166622161865,1564,79.857,0.210193639000257
"EHI02768",1.67299993022323,0.200083449482918,12.6499996185303,716,74.21125,0.190900057554245
"EHI01270",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02832",3.19828646299172,0.104520842432976,11.8458337783813,599,52.50525,0.156215300162633
"EHI02844",3.48087690821693,1.56636345386505,13.7,675.3,6.21875,0.147071500619253
"EHI02829",1,1.65911650657654,11.8458333271606,1369.49999490875,80,0.354327748219172
"EHI01264",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02837",1,5.58717060089111,12.4958333969116,991,80,0.282514125108719
"EHI02774",1,0.643123865127563,11.3562498174373,1422.99999861554,80,0.226075142621994
"EHI02845",3.19828646299172,0.104520842432976,11.8458337783813,599,52.50525,0.156215300162633
"EHI02775",1,0.643123865127563,11.3562498174373,1422.99999861554,80,0.226075142621994
"EHI01259",2.9990132680929,0.0269408524036407,9.625,671,57.835,0.364457716544469
"EHI01387",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
"EHI01248",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944158355395
"EHI01257",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
"EHI02839",1,0.0896360352635384,12.1999998092651,1041,80,0.116369560360909
"EHI01273",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
"EHI02838",1.79752266543392,3.148766040802,12.8208332061768,1160,77.50875,0.345227360725403
"EHI01265",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944158355395
"EHI01345",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI01256",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
