"id","diversity","pop_density","temperature","precipitation","density","devil","Site","island"
"EHI02768",1.62969142103096,0.23972462117672,12.6511040633364,715.915661046406,74.73375,0.182485356926918,5,"Tasmania"
"EHI02832",3.96249743613965,0.104520842432976,11.8458337783813,599,52.12525,0.156215300162633,3,"Tasmania"
"EHI02844",4.02695788216828,1.56636345386505,13.7,675.3,19.66,0.147071500619253,10,"Tasmania"
"EHI02829",1.10600124402471,1.6733912229538,11.845833352777,1369.49998981751,79.43075,0.354327748219172,9,"Tasmania"
"EHI02837",1.09912620066384,6.16722297668457,12.5233976621507,988.439189581821,79.47475,0.281302134195964,15,"Tasmania"
"EHI02774",1,0.870204210281372,11.3562498242474,1422.99999746182,80,0.226075142621994,12,"Tasmania"
"EHI02845",3.96249743613965,0.104520842432976,11.8458337783813,599,52.12525,0.156215300162633,3,"Tasmania"
"EHI02775",1,0.870204210281372,11.3562498242474,1422.99999746182,80,0.226075142621994,12,"Tasmania"
"EHI01259",3.64822858854862,0.0269408524036407,9.6062315396468,673.602559835644,58.3575,0.364457716544469,19,"Tasmania"
"EHI01248",1.04103493135534,0.0128326183184981,8.27916622161865,796,52.68425,0.248944158355395,20,"Tasmania"
"EHI02839",1,0.108992129564285,12.1869813727502,1043.85154332183,80,0.116369560360909,4,"Tasmania"
"EHI02838",2.05595599577069,3.09097790718079,12.8205815958335,1160.15700724996,77.638,0.345227360725403,11,"Tasmania"
"EHI01265",1.04103493135534,0.0128326183184981,8.27916622161865,796,52.68425,0.248944158355395,20,"Tasmania"
